case_num,num_errors,error_str,fidelity,alpha_orig,beta_orig,alpha_rec,beta_rec
0,1,q1=Z,0.9999999999999996,0.7716350235318709,0.6360655551584043,(0.7716350235318706+0j),(0.6360655551584041+0j)
1,1,q1a=Z,0.9999999999999993,0.9890777903865313,0.1473944522839881,(0.989077790386531+0j),(0.147394452283988+0j)
2,1,q1a=X,0.9999999999999991,0.32976005609279563,0.9440647781829784,(0.3297600560927956+0j),(0.9440647781829781+0j)
3,1,q0a=Z,0.9999999999999996,0.8351184863643141,0.5500700989261068,(0.8351184863643139+0j),(0.5500700989261067+0j)
4,1,q1a=Y,0.9999999999999993,0.27482280543798243,0.961494891099894,(0.2748228054379823+0j),(0.9614948910998936+0j)
5,1,q2a=X,0.9999999999999996,0.6439549874976611,0.7650633791241659,(0.6439549874976609+0j),(0.7650633791241657+0j)
6,1,q0a=Z,0.9999999999999996,0.5468357825989417,0.8372398860956177,(0.5468357825989416+0j),(0.8372398860956175+0j)
7,1,q1a=Z,0.9999999999999991,0.046011185658817094,0.9989409245767589,(0.04601118565881712+0j),(0.9989409245767584+0j)
8,1,q1=Y,0.9999999999999996,0.9536251464991867,0.3009968105552029,(0.9536251464991865+0j),(0.3009968105552028+0j)
9,1,q2=Z,0.9999999999999996,0.9707749239986836,0.23999176430734065,(0.9707749239986833+0j),(0.23999176430734062+0j)
10,1,q1=X,0.9999999999999993,0.05101344101306251,0.9986979667727409,(0.051013441013062516+0j),(0.9986979667727407+0j)
11,1,q2a=X,0.9999999999999993,0.7401004959363224,0.6724962869152584,(0.7401004959363222+0j),(0.6724962869152582+0j)
12,1,q0b=X,0.9999999999999993,0.7335704263828546,0.6796134412564814,(0.7335704263828544+0j),(0.6796134412564812+0j)
13,1,q0a=Z,0.9999999999999993,0.7733572015619808,0.6339705346403899,(0.7733572015619805+0j),(0.6339705346403897+0j)
14,1,q2=Z,0.9999999999999991,0.8820199928217504,0.4712119822996009,(0.88201999282175+0j),(0.4712119822996007+0j)
15,1,q2b=X,0.9999999999999989,0.8204208621951196,0.5717600973091919,(0.8204208621951192+0j),(0.5717600973091916+0j)
16,1,q2a=X,0.9999999999999991,0.9760015017954692,0.21776379059198223,(0.9760015017954689+0j),(0.21776379059198211+0j)
17,1,q2a=Y,0.9999999999999996,0.32848432563943986,0.9445094217683604,(0.3284843256394398+0j),(0.9445094217683601+0j)
18,1,q1b=Y,0.9999999999999996,0.3376602400550413,0.9412680608020076,(0.3376602400550412+0j),(0.9412680608020073+0j)
19,1,q0b=X,0.9999999999999993,0.9759862726593105,0.21783203524868885,(0.9759862726593103+0j),(0.21783203524868872+0j)
20,1,q2a=Y,0.9999999999999993,0.7384711276420629,0.6742850981884888,(0.7384711276420627+0j),(0.6742850981884886+0j)
21,1,q1b=Y,0.9999999999999993,0.5428131929505081,0.8398534619556405,(0.542813192950508+0j),(0.8398534619556401+0j)
22,1,q1b=X,0.9999999999999993,0.8881724706108293,0.4595102419414127,(0.8881724706108289+0j),(0.45951024194141254+0j)
23,1,q0b=Y,0.9999999999999996,0.9437281262108562,0.3307222759333672,(0.9437281262108559+0j),(0.3307222759333671+0j)
24,1,q2a=X,0.9999999999999991,0.9332387861311775,0.3592566882612019,(0.9332387861311771+0j),(0.3592566882612018+0j)
25,1,q1=Y,0.9999999999999996,0.895529796722531,0.44500155413447984,(0.8955297967225307+0j),(0.44500155413447967+0j)
26,1,q2b=Y,0.9999999999999996,0.33297031762904766,0.9429373084028498,(0.3329703176290476+0j),(0.9429373084028496+0j)
