case,num_errors,error_dict,fidelity,alpha,beta,alpha_rec,beta_rec
0,3,"{6: 'X', 4: 'Y', 8: 'X'}",0.0,0.008705549320464667,(-0.7375265001400751+0.6752620787532503j),0j,0j
1,1,{0: 'Y'},1.0,0.12602606133776348,(-0.44553478107866934-0.8863499256573966j),(0.1260260613377635+0j),(-0.4455347810786694-0.8863499256573966j)
2,1,{3: 'Z'},1.0000000000000004,0.9353220677086654,(0.17633149162496375+0.3067243627729986j),(0.9353220677086655+0j),(0.1763314916249637+0.3067243627729986j)
3,2,"{2: 'X', 4: 'X'}",0.0,0.7863895031569647,(0.5697479432692286+0.23870238889677278j),0j,0j
4,3,"{3: 'X', 0: 'X', 1: 'X'}",0.0,0.6141220202073107,(-0.6640842876133084-0.4264342894768385j),0j,0j
5,3,"{7: 'Z', 3: 'Y', 6: 'X'}",0.0,0.08077730865788262,(0.8923453100213511-0.4440662947003385j),0j,0j
6,3,"{8: 'Y', 5: 'Y', 7: 'Y'}",0.0,0.3593300192344152,(-0.8350294654523793-0.4166626082375384j),0j,0j
7,2,"{8: 'Y', 2: 'X'}",0.0,0.2932464347647105,(-0.9553073590120326+0.037341375379622434j),0j,0j
8,3,"{1: 'X', 3: 'Y', 4: 'X'}",0.0,0.025872117450055028,(-0.9492524231685747-0.31344931112899194j),0j,0j
9,3,"{7: 'Y', 0: 'Z', 6: 'Y'}",0.0,0.4354990652361455,(0.019380859853724695-0.8999805255947341j),0j,0j
10,1,{5: 'Y'},1.0000000000000004,0.9758246747623622,(-0.16555680574342405+0.14267847839448003j),(0.9758246747623623+0j),(-0.16555680574342407+0.14267847839448003j)
11,2,"{5: 'Y', 7: 'X'}",0.0,0.6399433177468453,(0.592853763785056+0.48887315822926214j),0j,0j
12,3,"{2: 'Y', 8: 'Z', 0: 'Y'}",0.0,0.991194177190376,(0.06568083333321313+0.11497882951460411j),0j,0j
13,2,"{6: 'Z', 7: 'Y'}",1.0000000000000004,0.9693264175839169,(-0.005030132694548518-0.24572544422384354j),0.969326417583917j,(0.24572544422384354-0.005030132694548551j)
14,3,"{5: 'X', 2: 'X', 8: 'X'}",0.0,0.0291319650637312,(0.36457713490262444+0.930717379937497j),0j,0j
15,2,"{3: 'Z', 0: 'X'}",0.0,0.9952636336024578,(-0.04268407594836794-0.08734053634405148j),0j,0j
16,1,{2: 'Y'},1.0000000000000004,0.273409681538058,(-0.9098642588309133-0.31208040076770394j),(0.273409681538058+0j),(-0.9098642588309134-0.31208040076770394j)
17,3,"{1: 'X', 7: 'X', 5: 'X'}",0.0,0.9867979140121466,(0.010369256746788657+0.16162411767986637j),0j,0j
18,1,{5: 'X'},1.0,0.5272260457098272,(-0.6794273743977056-0.5103049476971774j),(0.5272260457098273+0j),(-0.6794273743977058-0.5103049476971775j)
19,2,"{5: 'Y', 2: 'Z'}",0.0,0.7602490497018337,(-0.07509755048784755-0.6452764836395202j),0j,0j
20,3,"{6: 'X', 2: 'Z', 7: 'X'}",0.0,0.74981483259907,(-0.6585478079641245-0.06397266166164474j),0j,0j
21,2,"{0: 'Y', 4: 'Y'}",0.0,0.4897649701870685,(0.849508092210893-0.19612821124424926j),0j,0j
22,1,{3: 'Z'},1.0,0.568753705546423,(-0.6977666396516011-0.43547782838684834j),(0.568753705546423+0j),(-0.6977666396516011-0.43547782838684823j)
23,2,"{7: 'X', 0: 'Z'}",0.0,0.8155976993802033,(-0.24623107006665218+0.5236130755620517j),0j,0j
24,2,"{3: 'Z', 0: 'X'}",0.0,0.8708221181803569,(-0.36187429097026963-0.33273989244249186j),0j,0j
25,2,"{3: 'X', 0: 'Z'}",0.0,0.8513412500099878,(0.5195399687767887+0.07277566128071129j),0j,0j
26,3,"{0: 'X', 4: 'Y', 8: 'X'}",0.0,0.9507777055838881,(-0.14221910174425534-0.27530979216819473j),0j,0j
27,3,"{3: 'Y', 2: 'Y', 6: 'X'}",0.0,0.4652250117967617,(-0.8729664669570363+0.14661253686930328j),0j,0j
28,3,"{2: 'X', 4: 'X', 7: 'Y'}",0.0,0.9958903398176085,(-0.043682854504767506+0.07933624190925348j),0j,0j
29,1,{2: 'X'},1.0000000000000004,0.9412630135048687,(0.035661797496880886-0.3357859073978907j),(0.9412630135048689+0j),(0.03566179749688094-0.3357859073978907j)
30,1,{8: 'Y'},1.0,0.4530405288391038,(-0.6586811985959972+0.6007440035866572j),(0.45304052883910384+0j),(-0.6586811985959973+0.6007440035866572j)
31,3,"{2: 'Y', 0: 'Y', 4: 'Z'}",0.0,0.7605505759471358,(0.26421075314332054+0.593089790293105j),0j,0j
32,3,"{4: 'X', 7: 'Y', 6: 'X'}",0.0,0.9791945222322727,(-0.07280597760419402-0.18941324466733817j),0j,0j
33,2,"{2: 'Z', 7: 'Y'}",0.0,0.990165063980327,(-0.10933606329124713-0.08728557347470026j),0j,0j
34,2,"{8: 'Z', 0: 'Z'}",0.16710973114267447,0.9776771086912485,(0.20906215744221696+0.02098774563230719j),(0.20906215744221696+0.02098774563230719j),(0.9776771086912486+0j)
35,3,"{8: 'Z', 0: 'Z', 4: 'X'}",0.0019186976277088491,0.9987674981975724,(0.021928497340923104-0.04452668355639483j),(-0.04452668355639484-0.021928497340923045j),-0.9987674981975724j
36,1,{2: 'Z'},1.0,0.4356838274511095,(0.7865938575571322-0.43754966089684244j),(0.43568382745110956+0j),(0.7865938575571323-0.4375496608968424j)
37,1,{7: 'Z'},1.0000000000000004,0.852953911599101,(0.26578787865526926+0.44925096354679633j),(0.8529539115991012+0j),(0.26578787865526926+0.44925096354679644j)
38,2,"{8: 'Y', 2: 'Z'}",0.0,0.2644608322740509,(-0.05098193971233045-0.963047927164627j),0j,0j
39,2,"{1: 'X', 0: 'X'}",0.9803224845438828,0.9975250271434692,(-0.010463763053241199-0.06952934549660664j),(0.9975250271434692+0j),(0.010463763053241152+0.06952934549660664j)
40,2,"{3: 'Z', 5: 'X'}",1.0,0.6804052640039174,(-0.32720690745136566-0.6557318937125697j),-0.6804052640039175j,(-0.6557318937125698+0.32720690745136566j)
41,3,"{6: 'Y', 1: 'X', 5: 'Z'}",0.0,0.9138852339159901,(-0.2471996092965323-0.3220343652375595j),0j,0j
42,1,{0: 'X'},1.0000000000000004,0.9962995032010992,(0.08299933384350154-0.022325109244478534j),(0.9962995032010994+0j),(0.08299933384350154-0.022325109244478537j)
43,1,{1: 'Y'},1.0,0.8418624390247602,(-0.15606378301132037+0.5166350059679244j),(0.8418624390247603+0j),(-0.15606378301132035+0.5166350059679244j)
44,2,"{8: 'Z', 7: 'Z'}",1.0000000000000004,0.7184822672432244,(0.6427681087976522-0.26576754875214814j),(0.7184822672432244+0j),(0.6427681087976523-0.26576754875214814j)
45,2,"{1: 'Y', 3: 'Y'}",0.0,0.9867731402508494,(-0.05486175961442994-0.1525416566433116j),0j,0j
46,2,"{3: 'X', 7: 'Z'}",0.0,0.8519010594079359,(0.4242657605270071-0.307023043799772j),0j,0j
47,3,"{5: 'Y', 0: 'X', 7: 'Y'}",0.0,0.5004515352467195,(0.8623766154405316+0.07651688709386278j),0j,0j
48,1,{0: 'Y'},1.0,0.6944693738592415,(0.6496081331513681-0.30938901421212023j),(0.6944693738592416+0j),(0.6496081331513681-0.3093890142121203j)
49,1,{2: 'X'},1.0,0.9979253141576911,(-0.060076269679724244-0.023149712409500298j),(0.9979253141576911+0j),(-0.06007626967972422-0.0231497124095003j)
50,3,"{3: 'X', 7: 'Z', 0: 'X'}",0.0,0.9477727318265035,(-0.306089885091943+0.08964279698072772j),0j,0j
51,3,"{1: 'X', 4: 'Y', 2: 'Y'}",0.0,0.7289719065522083,(0.21431498603650784-0.6501300225476515j),0j,0j
52,3,"{5: 'X', 3: 'Z', 0: 'Z'}",0.0,0.9185425960106783,(-0.3749636457189417-0.1252268489706726j),0j,0j
53,2,"{3: 'Y', 8: 'X'}",0.0,0.8174669457450185,(-0.3735808991889988+0.43838921562402733j),0j,0j
54,1,{7: 'Y'},1.0,0.7816539860002563,(-0.25587908810592175-0.5688083494816097j),(0.7816539860002563+0j),(-0.25587908810592175-0.5688083494816099j)
55,3,"{3: 'X', 6: 'X', 2: 'Z'}",0.0,0.28588081543959776,(0.8149274704545079+0.5041481699482878j),0j,0j
56,2,"{6: 'X', 4: 'Z'}",0.0,0.42615389168587753,(0.29821246884985947-0.8540855835473709j),0j,0j
57,3,"{1: 'X', 4: 'Y', 8: 'Y'}",0.0,0.37953962049736883,(0.9246800735755228+0.030272727083611815j),0j,0j
58,3,"{1: 'Y', 4: 'X', 5: 'X'}",0.0,0.9005747046315862,(0.33964845793970677+0.2713008042688238j),0j,0j
59,2,"{8: 'Y', 1: 'Y'}",0.0,0.9144265270293352,(0.03657894924310754+0.4030956550712727j),0j,0j
60,2,"{7: 'X', 6: 'Z'}",1.0,0.6214817635625423,(-0.7743962174760303+0.1186208915748366j),-0.6214817635625423j,(0.11862089157483659+0.7743962174760304j)
61,3,"{6: 'Y', 7: 'Z', 0: 'Z'}",0.0,0.606868949783502,(-0.3384765663364262-0.7191270345563237j),0j,0j
62,3,"{8: 'X', 6: 'Z', 1: 'X'}",0.0,0.9264605101519516,(-0.2934913141139855+0.23565604526222417j),0j,0j
63,2,"{0: 'X', 8: 'X'}",0.0,0.9892115421924443,(0.14643482449874734-0.004167369346129523j),0j,0j
64,3,"{5: 'Z', 8: 'X', 3: 'X'}",0.0,0.2890774014263445,(0.12666614639298007+0.9488887939809091j),0j,0j
65,1,{3: 'Z'},1.0,0.34203887741934946,(0.8178180220035899-0.46279918887120686j),(0.34203887741934946+0j),(0.81781802200359-0.4627991888712068j)
66,3,"{3: 'X', 1: 'X', 8: 'Z'}",0.0,0.15763514037100246,(0.983822108670871-0.08511886401154065j),0j,0j
67,3,"{0: 'X', 1: 'Z', 4: 'X'}",0.0,0.9913281170243058,(0.13070905780200265+0.013553840989073427j),0j,0j
68,2,"{7: 'Y', 6: 'Z'}",1.0,0.3177977521407881,(-0.17729374328113048+0.9314351922316586j),0.3177977521407881j,(-0.9314351922316586-0.17729374328113046j)
69,3,"{5: 'Y', 1: 'Y', 6: 'Y'}",0.0,0.5527766041022669,(-0.6919218978791926+0.46441588387179644j),0j,0j
70,2,"{0: 'X', 4: 'X'}",0.0,0.9394106693579836,(-0.2126321825281461-0.26887757297644294j),0j,0j
71,1,{5: 'Y'},1.0,0.9073007906648201,(0.17633596623986528-0.38172097436379565j),(0.9073007906648201+0j),(0.17633596623986525-0.38172097436379554j)
72,3,"{7: 'Y', 4: 'X', 2: 'X'}",0.0,0.7678541638219119,(-0.6285595767888575+0.12374506668293837j),0j,0j
73,2,"{8: 'X', 5: 'Y'}",0.0,0.47578042995007214,(0.6413214981441998-0.6019466076776275j),0j,0j
74,3,"{3: 'Z', 6: 'X', 8: 'X'}",0.0,0.9979041041323979,(0.047905719431962354-0.04350219536324935j),0j,0j
75,2,"{1: 'Y', 7: 'X'}",0.0,0.2031420987569468,(-0.4181029565863362+0.8853943784587675j),0j,0j
76,2,"{7: 'Z', 2: 'Y'}",0.0,0.5578737327176274,(0.8177610424458487+0.14157604247039865j),0j,0j
77,2,"{7: 'Y', 1: 'Z'}",0.0,0.79529974995055,(-0.4835640132570917+0.3656010842589063j),0j,0j
78,3,"{8: 'Z', 4: 'Z', 5: 'X'}",0.0,0.8250656484818868,(0.0012539172738569417+0.5650354886081351j),0j,0j
79,1,{3: 'Z'},1.0,0.8291472319917691,(0.4214958535159451+0.36722760401316845j),(0.8291472319917691+0j),(0.4214958535159451+0.3672276040131685j)
80,1,{6: 'Z'},1.0000000000000004,0.1266490630139346,(0.5103643525452172+0.8505811204634122j),(0.12664906301393464+0j),(0.5103643525452173+0.8505811204634123j)
81,2,"{8: 'X', 1: 'Z'}",0.0,0.9134107084762572,(0.3502699461057746-0.20734474311146595j),0j,0j
82,3,"{3: 'Y', 8: 'X', 6: 'X'}",0.0,0.9150086281300976,(-0.22633757117889072-0.3339618456056278j),0j,0j
83,3,"{6: 'Z', 5: 'X', 8: 'Y'}",0.0,0.13072543251003846,(0.7781723171815965-0.6142952922392358j),0j,0j
84,3,"{7: 'X', 4: 'X', 0: 'X'}",0.0,0.6117529468066567,(-0.7667080055062397+0.1947233071977148j),0j,0j
85,3,"{8: 'Z', 1: 'Y', 6: 'X'}",0.0,0.23667951500363066,(0.8578708061939679-0.4561145547532525j),0j,0j
86,3,"{4: 'Y', 0: 'Y', 5: 'Y'}",0.0,0.964497784620601,(0.036719733260851456-0.26152568640805585j),0j,0j
87,3,"{1: 'Y', 3: 'X', 5: 'X'}",0.0,0.9429184099832719,(-0.2947018717008233-0.15509893271924788j),0j,0j
88,1,{6: 'Y'},1.0,0.6185843840467511,(-0.7855722350400831-0.015153327939102703j),(0.6185843840467511+0j),(-0.7855722350400831-0.015153327939102701j)
89,2,"{4: 'X', 1: 'Y'}",0.0,0.9999782527032008,(-0.006547693540316285+0.000788561954125959j),0j,0j
90,1,{3: 'X'},1.0,0.8370054680141233,(0.4120561742257468+0.36004382482817193j),(0.8370054680141235+0j),(0.4120561742257468+0.36004382482817193j)
91,1,{7: 'X'},1.0000000000000004,0.03490283763998584,(-0.9924288573929182-0.11775718635592397j),(0.0349028376399858+0j),(-0.9924288573929183-0.117757186355924j)
92,2,"{6: 'Y', 1: 'Z'}",0.0,0.7895599768832782,(0.5711392794366741+0.22448823218296743j),0j,0j
93,1,{5: 'Y'},1.0000000000000004,0.5683470444458898,(-0.7201953899664383-0.3978696235460955j),(0.5683470444458899+0j),(-0.7201953899664383-0.3978696235460955j)
94,3,"{0: 'Z', 2: 'X', 8: 'Y'}",0.0,0.9631963098861958,(0.1491309155881486-0.22363550397344326j),0j,0j
95,2,"{3: 'Z', 6: 'Z'}",0.07246717280872994,0.45784409225122863,(-0.29398356279681553+0.8390187435307623j),(-0.29398356279681553+0.8390187435307624j),(0.4578440922512287+0j)
96,3,"{7: 'Z', 1: 'Y', 5: 'X'}",0.0,0.7379838927692034,(-0.11601386236625226+0.6647710566443736j),0j,0j
97,3,"{2: 'Y', 3: 'X', 7: 'Z'}",0.0,0.8268458962489598,(0.5049641802598782+0.2476631593732175j),0j,0j
98,1,{6: 'X'},1.0,0.039428372457916604,(0.07435968677622713+0.9964517250864996j),(0.03942837245791661+0j),(0.07435968677622715+0.9964517250864998j)
99,3,"{8: 'Z', 0: 'Y', 7: 'X'}",0.0,0.8891291270335449,(0.4103622946113962+0.20261338213907812j),0j,0j
100,1,{0: 'Y'},1.0,0.927541834611147,(-0.20530587607724748-0.31227494663251715j),(0.9275418346111471+0j),(-0.20530587607724754-0.31227494663251715j)
101,2,"{5: 'Z', 1: 'X'}",0.0,0.9485136330024686,(-0.07048202877509716-0.3087947079018755j),0j,0j
102,1,{0: 'X'},1.0000000000000004,0.46586355706573207,(-0.8292280711832124+0.30879111412058585j),(0.4658635570657321+0j),(-0.8292280711832125+0.30879111412058585j)
103,1,{4: 'Y'},1.0,0.8557567166378296,(0.06416522737260363-0.5133841305742354j),(0.8557567166378297+0j),(0.06416522737260368-0.5133841305742354j)
104,2,"{4: 'X', 2: 'Y'}",0.0,0.8474802546335024,(0.48064148546381186+0.22530197615084116j),0j,0j
105,3,"{1: 'Z', 5: 'Z', 3: 'Y'}",0.0,0.35003283156251486,(0.0477924640015737-0.935517448908884j),0j,0j
